player_id,player_name,position,age,nationality,height,foot,contract,market_value,club_id
730893,Tyrick Mitchell,Left-Back,25,"England, Jamaica","1,81m",left,"Jun 30, 2025",€25.00m,873
493003,Daniel Muñoz,Right-Back,28,Colombia,"1,81m",right,"Jun 30, 2027",€23.00m,873
85177,Nathaniel Clyne,Right-Back,33,"England, Grenada","1,75m",right,"Jun 30, 2025",€1.50m,873
92572,Joel Ward,Right-Back,34,England,"1,86m",right,"Jun 30, 2025",€1.00m,873
543387,Cheick Doucouré,Defensive Midfield,24,Mali,"1,80m",right,"Jun 30, 2029",€35.00m,873
744149,Adam Wharton,Defensive Midfield,20,England,"1,82m",left,"Jun 30, 2029",€30.00m,873
262980,Jefferson Lerma,Defensive Midfield,29,Colombia,"1,79m",right,"Jun 30, 2026",€20.00m,873
207014,Will Hughes,Central Midfield,29,England,"1,85m",left,"Jun 30, 2025",€9.00m,873
157506,Jeffrey Schlupp,Left Midfield,31,"Ghana, Germany","1,78m",left,"Jun 30, 2025",€7.00m,873
479999,Eberechi Eze,Attacking Midfield,26,"England, Nigeria","1,78m",right,"Jun 30, 2027",€55.00m,873
356141,Daichi Kamada,Attacking Midfield,28,Japan,"1,84m",right,"Jun 30, 2026",€18.00m,873
743597,Matheus França,Attacking Midfield,20,Brazil,"1,84m",right,"Jun 30, 2028",€15.00m,873
410225,Ismaïla Sarr,Right Winger,26,Senegal,"1,85m",right,"Jun 30, 2029",€18.00m,873
340324,Eddie Nketiah,Centre-Forward,25,"England, Ghana","1,75m",right,"Jun 30, 2029",€30.00m,873
420002,Jean-Philippe Mateta,Centre-Forward,27,"France, DR Congo","1,92m",right,"Jun 30, 2026",€20.00m,873
127202,Matz Sels,Goalkeeper,32,Belgium,"1,88m",right,"Jun 30, 2027",€7.00m,703
641458,Carlos Miguel,Goalkeeper,25,Brazil,"2,04m",left,"Jun 30, 2028",€4.00m,703
1005649,Murillo,Centre-Back,22,Brazil,"1,84m",left,"Jun 30, 2028",€35.00m,703
673492,Morato,Centre-Back,23,Brazil,"1,92m",left,"Jun 30, 2029",€15.00m,703
413507,Nikola Milenković,Centre-Back,26,Serbia,"1,95m",right,"Jun 30, 2029",€15.00m,703
621993,Andrew Omobamidele,Centre-Back,22,"Ireland, Nigeria","1,88m",right,"Jun 30, 2028",€11.00m,703
142310,Willy Boly,Centre-Back,33,"Cote d'Ivoire, France","1,95m",right,"Jun 30, 2025",€2.50m,703
933017,Zach Abbott,Centre-Back,18,England,N/A,right,"Jun 30, 2026",€300k,703
193098,Álex Moreno,Left-Back,31,Spain,"1,79m",left,"May 31, 2025",€13.00m,703
198516,Harry Toffolo,Left-Back,29,"England, Italy","1,83m",left,"Jun 30, 2025",€5.00m,703
503680,Neco Williams,Right-Back,23,Wales,"1,83m",right,"Jun 30, 2026",€17.00m,703
236490,Ola Aina,Right-Back,27,"Nigeria, England","1,84m",right,"Jun 30, 2025",€12.00m,703
375885,Ibrahim Sangaré,Defensive Midfield,26,Cote d'Ivoire,"1,91m",right,"Jun 30, 2028",€30.00m,703
808509,Danilo,Defensive Midfield,23,Brazil,"1,77m",left,"Jun 30, 2029",€28.00m,703
181579,James Ward-Prowse,Central Midfield,29,England,"1,77m",right,"Jun 30, 2025",€30.00m,703
497291,Nicolás Domínguez,Central Midfield,26,"Argentina, Italy","1,79m",right,"Jun 30, 2028",€17.00m,703
567576,Elliot Anderson,Central Midfield,21,"England, Scotland","1,79m",right,"Jun 30, 2029",€15.00m,703
425902,Ryan Yates,Central Midfield,26,England,"1,90m",right,"Jun 30, 2028",€12.00m,703
429014,Morgan Gibbs-White,Attacking Midfield,24,"England, Jamaica","1,71m",right,"Jun 30, 2027",€40.00m,703
